ballCount,runs,wickets
0,0,0
1,0,0
2,4,0
3,5,0
4,6,0
5,6,0
6,7,0
7,7,1
8,8,1
9,8,1
10,8,1
11,9,1
12,10,1
13,12,1
14,13,1
15,14,1
16,15,1
17,19,1
18,21,1
19,23,1
20,24,1
21,25,1
22,25,1
23,25,1
24,26,1
25,26,1
26,28,1
27,32,1
28,33,1
29,37,1
30,37,1
31,37,1
32,41,1
33,42,1
34,42,1
35,43,1
36,43,1
37,43,1
38,49,1
39,50,1
40,51,1
41,52,1
42,52,1
43,53,1
44,53,1
45,57,1
46,58,1
47,61,1
48,65,1
49,69,1
50,69,1
51,69,1
52,69,1
53,75,1
54,76,1
55,76,1
56,80,1
57,81,1
58,81,1
59,82,1
60,83,1
61,84,1
62,86,1
63,86,1
64,90,1
65,94,1
66,94,1
67,95,1
68,96,1
69,97,1
70,97,1
71,98,1
72,98,1
73,98,2
74,99,2
75,99,2
76,99,2
77,99,2
78,99,2
79,100,2
80,100,2
81,100,2
82,105,2
83,107,2
84,109,2
85,110,2
86,111,2
87,112,2
88,112,3
89,112,3
90,113,3
91,114,3
92,116,3
93,117,3
94,119,3
95,120,3
96,121,3
97,121,3
98,123,3
99,125,3
100,127,3
101,128,3
102,129,3
103,130,3
104,132,3
105,133,3
106,134,3
107,135,3
108,136,3
109,136,3
110,140,3
